Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept
1020718,LP305005-3,C peptide^5M pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020740,LP305027-7,C peptide^pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020889,LP305167-1,Corticotropin^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020912,LP305189-5,Corticotropin^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020921,LP305198-6,Corticotropin^2.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020929,LP305207-5,Corticotropin^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020938,LP305217-4,Corticotropin^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020947,LP305225-7,Corticotropin^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1020996,LP305271-1,Corticotropin^pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021548,LP305802-3,Glucose tolerance^post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021549,LP305803-1,Glucose tolerance^post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021550,LP305804-9,Glucose^ 6M post XXX challenge,LOINC Component,Observation,LOINC,Valid,Non-standard
1021551,LP305805-6,Glucose^1.3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021554,LP305808-0,Glucose^1.5H post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021555,LP305809-8,Glucose^1.5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021557,LP305811-4,Glucose^1.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021560,LP305814-8,Glucose^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021567,LP305821-3,Glucose^1.6H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021573,LP305827-0,Glucose^105M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021576,LP305830-4,Glucose^10M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021578,LP305832-0,Glucose^10M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021604,LP305858-5,Glucose^15M post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021608,LP305862-7,Glucose^15M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021616,LP305870-0,Glucose^15M pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021630,LP305884-1,Glucose^1H post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021632,LP305886-6,Glucose^1H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021633,LP305887-4,Glucose^1H post 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021635,LP305889-0,Glucose^1H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021639,LP305893-2,Glucose^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021647,LP305901-3,Glucose^1M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021653,LP305907-0,Glucose^2.3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021654,LP305908-8,Glucose^2.5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021656,LP305910-4,Glucose^2.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021659,LP305913-8,Glucose^2.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021664,LP305918-7,Glucose^2.6H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021667,LP305921-1,Glucose^20M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021670,LP305924-5,Glucose^20M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021687,LP305941-9,Glucose^2H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021688,LP305942-7,Glucose^2H post 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021690,LP305944-3,Glucose^2H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021693,LP305947-6,Glucose^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021706,LP305960-9,Glucose^3.3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021707,LP305961-7,Glucose^3.5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021708,LP305962-5,Glucose^3.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021709,LP305963-3,Glucose^3.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021712,LP305966-6,Glucose^3.6H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021716,LP305970-8,Glucose^30M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021718,LP305972-4,Glucose^30M post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021720,LP305974-0,Glucose^30M post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021724,LP305978-1,Glucose^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021736,LP305990-6,Glucose^3H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021738,LP305992-2,Glucose^3H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021741,LP305995-5,Glucose^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021747,LP306001-1,Glucose^3M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021754,LP306008-6,Glucose^4.5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021755,LP306009-4,Glucose^4.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021756,LP306010-2,Glucose^4.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021758,LP306012-8,Glucose^40M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021760,LP306014-4,Glucose^40M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021763,LP306017-7,Glucose^45M post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021765,LP306019-3,Glucose^45M post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021768,LP306022-7,Glucose^45M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021774,LP306028-4,Glucose^4H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021776,LP306030-0,Glucose^4H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021777,LP306031-8,Glucose^4H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021785,LP306039-1,Glucose^5.5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021786,LP306040-9,Glucose^5.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021787,LP306041-7,Glucose^5.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021790,LP306044-1,Glucose^5H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021791,LP306045-8,Glucose^5H post 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021793,LP306047-4,Glucose^5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021794,LP306048-2,Glucose^5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021797,LP306051-6,Glucose^5M post 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021798,LP306052-4,Glucose^5M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021807,LP306061-5,Glucose^6H post 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021809,LP306063-1,Glucose^6H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021810,LP306064-9,Glucose^6H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021820,LP306074-8,Glucose^75M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021842,LP306096-1,Glucose^post 50 g glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021845,LP306099-5,Glucose^post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021848,LP306102-7,Glucose^pre 0.5 g/kg glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021849,LP306103-5,Glucose^pre 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021851,LP306105-0,Glucose^pre 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021853,LP306107-6,Glucose^pre 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021857,LP306111-8,Glucose^pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021865,LP306119-1,Glucose^pre or post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021880,LP306134-0,Hydrogen/Expired gas^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021891,LP306145-6,Hydrogen/Expired gas^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021898,LP306152-2,Hydrogen/Expired gas^2.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021907,LP306161-3,Hydrogen/Expired gas^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021911,LP306165-4,Hydrogen/Expired gas^3.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021915,LP306169-6,Hydrogen/Expired gas^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021921,LP306174-6,Hydrogen/Expired gas^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021925,LP306178-7,Hydrogen/Expired gas^4.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021932,LP306184-5,Hydrogen/Expired gas^4H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021934,LP306186-0,Hydrogen/Expired gas^5.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021938,LP306190-2,Hydrogen/Expired gas^5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021940,LP306192-8,Hydrogen/Expired gas^6H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021943,LP306195-1,Hydrogen/Expired gas^post 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021945,LP306197-7,Hydrogen/Expired gas^post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021948,LP306200-9,Hydrogen/Expired gas^pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021966,LP306216-5,Insulin^1.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021968,LP306218-1,Insulin^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021969,LP306219-9,Insulin^1.5H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021976,LP306226-4,Insulin^10M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021977,LP306227-2,Insulin^10M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021979,LP306229-8,Insulin^10M pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1021989,LP306239-7,Insulin^15M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1021996,LP306246-2,Insulin^1H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1021999,LP306248-8,Insulin^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022000,LP306249-6,Insulin^1H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022003,LP306252-0,Insulin^1M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022004,LP306253-8,Insulin^1M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022009,LP306258-7,Insulin^2.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022010,LP306259-5,Insulin^2.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022011,LP306260-3,Insulin^2.5H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022017,LP306265-2,Insulin^20M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022022,LP306270-2,Insulin^2H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022024,LP306272-8,Insulin^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022025,LP306273-6,Insulin^2H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022034,LP306282-7,Insulin^30M post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022036,LP306284-3,Insulin^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022037,LP306285-0,Insulin^30M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022045,LP306292-6,Insulin^3H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022046,LP306293-4,Insulin^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022047,LP306294-2,Insulin^3H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022051,LP306297-5,Insulin^3M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022052,LP306298-3,Insulin^3M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022056,LP306302-3,Insulin^4.5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022062,LP306308-0,Insulin^45M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022064,LP306310-6,Insulin^4H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022065,LP306311-4,Insulin^4H post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022075,LP306320-5,Insulin^5H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022077,LP306322-1,Insulin^5M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022078,LP306323-9,Insulin^5M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022080,LP306325-4,Insulin^5M pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022086,LP306332-0,Insulin^6H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022094,LP306340-3,Insulin^7H post 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022096,LP306342-9,Insulin^7M post dose glucose IV,LOINC Component,Observation,LOINC,Valid,Non-standard
1022097,LP306343-7,Insulin^7M pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022110,LP306356-9,Insulin^pre 100 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022111,LP306357-7,Insulin^pre 75 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022113,LP306359-3,Insulin^pre dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022115,LP306361-9,Insulin^pre or post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022174,LP306417-9,Ketones^1H post 50 g glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022175,LP306418-7,Ketones^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022179,LP306421-1,Ketones^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022183,LP306425-2,Ketones^3H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022185,LP306427-8,Ketones^4H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022555,LP306802-2,Somatotropin^1.5H post 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022561,LP306808-9,Somatotropin^1.5H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022562,LP306809-7,Somatotropin^1.5H post dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022620,LP306867-5,Somatotropin^1H post 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022626,LP306873-3,Somatotropin^1H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022627,LP306874-1,Somatotropin^1H post dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022667,LP306914-5,Somatotropin^2H post 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022673,LP306920-2,Somatotropin^2H post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022674,LP306921-0,Somatotropin^2H post dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022689,LP306936-8,Somatotropin^30M post 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022695,LP306942-6,Somatotropin^30M post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1022696,LP306943-4,Somatotropin^30M post dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022704,LP306951-7,Somatotropin^30M pre 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022719,LP306966-5,Somatotropin^3H post 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022723,LP306970-7,Somatotropin^3H post dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022791,LP307038-2,Somatotropin^pre 1 g/kg glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022798,LP307045-7,Somatotropin^pre dose glucose PO,LOINC Component,Observation,LOINC,Valid,Non-standard
1022808,LP307055-6,Somatotropin^pre or post dose glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1023249,LP307555-5,Sodium^^corrected for glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1025714,LP310282-1,Glucose post glucagon stimulation panel,LOINC Component,Observation,LOINC,Valid,Non-standard
1027482,LP35919-7,Glucose meter device,LOINC System,Observation,LOINC,Valid,Non-standard
1028396,LP412050-9,Glucose tolerance and insulin sensitivity 2 hour panel,LOINC Component,Observation,LOINC,Valid,Non-standard
1029774,LP69206-8,Glucose in CSF,LOINC Component,Observation,LOINC,Valid,Non-standard
1031388,LP73930-7,Blood glucose monitors attachment,LOINC Component,Observation,LOINC,Valid,Non-standard
1033756,LP89291-6,Glucose and Protein,LOINC Component,Observation,LOINC,Valid,Non-standard
1176334,90996-0,HEDIS 2019-2020 Value Set - Glucose Tests,Lab Test,Measurement,LOINC,Invalid,Non-standard
1247081,372661000119106,Glucose in blood one hour postprandial,Observable Entity,Measurement,SNOMED,Valid,Standard
1247082,372731000119106,Glucose in blood one hour after glucose dose in pregnancy,Observable Entity,Measurement,SNOMED,Valid,Standard
1616470,96798-4,"Cortisol, glucose, and somatotropin post arginine stimulation panel - Serum or Plasma",Lab Test,Measurement,LOINC,Valid,Standard
1616656,96799-2,Glucose [Mass/volume] in Serum or Plasma --30 minutes post dose arginine,Lab Test,Measurement,LOINC,Valid,Standard
1616745,97062-4,History of High blood glucose,Clinical Observation,Observation,LOINC,Valid,Standard
1616773,97533-4,Somatotropin post glucose stimulation panel - Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard
1616856,97778-5,Glucose [Moles/volume] in Dialysis fluid --1 hour specimen,Lab Test,Measurement,LOINC,Valid,Standard
1617040,96800-8,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose arginine,Lab Test,Measurement,LOINC,Valid,Standard
1617103,97505-2,Glucose standard deviation Calculated,Lab Test,Measurement,LOINC,Valid,Standard
1617169,97507-8,Average glucose [Mass/volume] in Interstitial fluid during Reporting Period,Lab Test,Measurement,LOINC,Valid,Standard
1617484,96802-4,Glucose [Mass/volume] in Serum or Plasma --1.5 hours post dose arginine,Lab Test,Measurement,LOINC,Valid,Standard
1617515,97506-0,Glucose management indicator,Lab Test,Measurement,LOINC,Valid,Standard
1617555,97534-2,Somatotropin [Mass/volume] in Serum or Plasma --3 hours post dose glucose,Lab Test,Measurement,LOINC,Valid,Standard
1617716,97510-2,Glucose measurements in range out of Total glucose measurements during reporting period,Lab Test,Measurement,LOINC,Valid,Standard
1619157,LP426583-3,Glucose management indicator,LOINC Component,Observation,LOINC,Valid,Non-standard
1619165,LP427293-8,Glucose measurements in range/Total glucose measurements,LOINC Component,Observation,LOINC,Valid,Non-standard
1619301,LP422915-1,High blood glucose,LOINC Component,Observation,LOINC,Valid,Non-standard
1619444,LP426582-5,Glucose standard deviation,LOINC Component,Observation,LOINC,Valid,Non-standard
1619549,LP426579-1,Glucose measurements in range,LOINC Component,Observation,LOINC,Valid,Non-standard
1619572,LP422376-6,"Cortisol, glucose, and somatotropin post arginine stimulation panel",LOINC Component,Observation,LOINC,Valid,Non-standard
