Unnamed: 0,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
,4089852,251866006,Adequacy of dialysis,Observable Entity,Standard,01/30/2002,12/30/2099,100,"8,315",0,0,Measurement,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4268532,365399009,Adequacy of dialysis - finding,Clinical Finding,Non-Standard,01/30/2002,12/30/2099,"372,478","372,478",0,0,Observation,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4092504,251869004,Adequacy of hemodialysis,Clinical Finding,Standard,01/30/2002,12/30/2099,200,200,0,0,Observation,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dialysis findingFinding of measures of dialysis'"">2"
,4092503,251867002,Adequacy of peritoneal dialysis,Observable Entity,Standard,01/30/2002,12/30/2099,578,"4,204",0,0,Measurement,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4253750,410617001,Adjustment,Procedure,Standard,07/30/2004,12/30/2099,"3,636","18,937,934",0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4031314,238315007,Adjustment of chronic ambulatory peritoneal dialysis catheter,Procedure,Standard,01/30/2002,12/30/2099,0,0,0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4253896,410770002,Administration of anesthesia for procedure,Procedure,Standard,07/30/2004,12/30/2099,100,"207,984,695",0,0,Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,40657325,LG38747-8,Admission evaluation note|Any Role|Any Setting,LOINC Group,Classification,06/14/2018,12/30/2099,0,0,0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,1003664,LP416625-4,Admission evaluation note | {Setting} | Document ontology,LOINC Hierarchy,Classification,12/12/2019,12/30/2099,0,0,0,0,Note,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,36032043,95556-7,Adrenal cancer risk assessment and urine steroid fractions panel,Lab Test,Standard,12/14/2020,12/30/2099,0,"1,044,934",0,0,Measurement,LOINC,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37109379,443101000124104,Adult dialysis renal specialty formula,Pharma/Biol Product,Standard,08/31/2014,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37109412,446161000124106,Adult dialysis specialty formula,Pharma/Biol Product,Standard,02/28/2015,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,37109378,443091000124105,Adult non-dialysis renal specialty formula,Pharma/Biol Product,Standard,08/31/2014,12/30/2099,0,0,0,0,Device,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
,4126449,236552002,Adynamic bone disease,Disorder,Standard,01/30/2002,12/30/2099,200,200,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of boneOsteodystrophyKidney diseaseComplication of procedureChronic diseaseDisorder of abdomenProcedure related findingComplication of dialysisLong-term disorder of dialysisChronic disease of musculoskeletal systemChronic disease of genitourinary systemUrological system complication of procedureRenal complication of procedureDiseaseChronic kidney disease mineral and bone disorderChronic kidney disease'"">16"
,765777,430931000124101,Air force dialysis program,Procedure,Standard,08/31/2012,12/30/2099,0,0,0,0,Observation,SNOMED,
,37077719,LP382699-9,Alanine aminotransferase | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3028946,50168-4,Alanine aminotransferase [Enzymatic activity/volume] in Dialysis fluid,Lab Test,Standard,09/05/2007,12/30/2099,0,0,0,0,Measurement,LOINC,
,4146380,34608000,Alanine aminotransferase measurement,Procedure,Standard,01/30/2002,12/30/2099,"94,156,443","390,021,934",0,0,Measurement,SNOMED,
,1023079,LP307330-3,Albumin^2H post peritoneal dialysis,LOINC Component,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,1023080,LP307331-1,Albumin^4H post peritoneal dialysis,LOINC Component,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,37033544,LP384479-4,Albumin | Dialysis fluid peritoneal | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3041198,40599-3,Albumin [Mass/volume] in Peritoneal dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3026692,1749-1,Albumin [Mass/volume] in Peritoneal fluid,Lab Test,Standard,12/31/1969,12/30/2099,734,734,0,0,Measurement,LOINC,
,3016915,23806-3,Albumin [Mass/volume] in Peritoneal fluid --2 hours post peritoneal dialysis,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3008335,23807-1,Albumin [Mass/volume] in Peritoneal fluid --4 hours post peritoneal dialysis,Lab Test,Standard,12/31/1969,12/30/2099,100,100,0,0,Measurement,LOINC,
,3024561,1751-7,Albumin [Mass/volume] in Serum or Plasma,Lab Test,Standard,12/31/1969,12/30/2099,"121,864,123","121,864,123",0,0,Measurement,LOINC,
,3018721,21058-3,Albumin [Mass/volume] in Serum or Plasma --2 hours post peritoneal dialysis,Lab Test,Standard,12/31/1969,12/30/2099,200,200,0,0,Measurement,LOINC,
,40763912,61151-7,Albumin [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Lab Test,Standard,10/14/2010,12/30/2099,"1,712,807","1,712,807",0,0,Measurement,LOINC,
,40763913,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Lab Test,Standard,10/14/2010,12/30/2099,"106,133","106,133",0,0,Measurement,LOINC,
,3028286,2862-1,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,Lab Test,Standard,12/31/1969,12/30/2099,"2,294,123","2,294,123",0,0,Measurement,LOINC,
,4097664,26758005,Albumin measurement,Procedure,Standard,01/30/2002,12/30/2099,"7,241,231","600,530,991",0,0,Measurement,SNOMED,
,40757478,54347-0,Albumin [Moles/volume] in Serum or Plasma,Lab Test,Standard,12/17/2008,12/30/2099,"381,003","381,003",0,0,Measurement,LOINC,
,40764996,62235-7,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40764995,62234-0,Albumin [Moles/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,37051495,LP384481-0,Albumin | Peritoneal fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,834,0,0,Measurement,LOINC,
,3043798,43712-9,Albumin [Presence] in Serum or Plasma,Lab Test,Standard,06/27/2015,12/30/2099,0,0,0,0,Measurement,LOINC,
,37047958,LP384518-9,Albumin/Protein.total | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40757595,54464-3,Albumin/Protein.total in Dialysis fluid by Electrophoresis,Lab Test,Standard,01/11/2009,12/30/2099,0,0,0,0,Measurement,LOINC,
,37048896,LP384485-1,Albumin | Serum or Plasma | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,"360,658,328",0,0,Measurement,LOINC,
,37032293,LP382720-3,Alkaline phosphatase | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40762257,59164-4,Alkaline phosphatase [Enzymatic activity/volume] in Dialysis fluid,Lab Test,Standard,03/15/2010,12/30/2099,0,0,0,0,Measurement,LOINC,
,4230636,88810008,Alkaline phosphatase measurement,Procedure,Standard,01/30/2002,12/30/2099,"77,713,677","307,245,318",0,0,Measurement,SNOMED,
,43530807,609328004,Allergic disposition,Clinical Finding,Standard,07/30/2013,12/30/2099,"41,473,897","120,470,139",0,0,Observation,SNOMED,
,4163946,294299005,Allergy to dialysis fluid,Clinical Finding,Standard,01/30/2002,12/30/2099,0,0,0,0,Observation,SNOMED,
,37065092,LP384641-9,Alpha 1 globulin/Protein.total | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40757596,54465-0,Alpha 1 globulin/Protein.total in Dialysis fluid by Electrophoresis,Lab Test,Standard,01/11/2009,12/30/2099,0,0,0,0,Measurement,LOINC,
,37057402,LP384661-7,Alpha 2 globulin/Protein.total | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40757597,54466-8,Alpha 2 globulin/Protein.total in Dialysis fluid by Electrophoresis,Lab Test,Standard,01/11/2009,12/30/2099,0,0,0,0,Measurement,LOINC,
,37168956,13441000237101,Aluminium molar concentration in dialysis fluid,Observable Entity,Standard,06/06/2023,12/30/2099,0,0,0,0,Measurement,SNOMED,
,37059726,LP388124-2,Aluminum | Dialysis fluid | Drug toxicology,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,300,0,0,Measurement,LOINC,
,3010042,5572-3,Aluminum [Mass/volume] in Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,300,300,0,0,Measurement,LOINC,
,4297322,76960001,Aluminum measurement,Procedure,Standard,01/30/2002,12/30/2099,"4,574","45,432",0,0,Measurement,SNOMED,
,3014912,15113-4,Aluminum [Moles/volume] in Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40654310,LG42669-8,Aluminum|Moment in time|Dialysis fluid,LOINC Group,Classification,06/14/2018,12/30/2099,0,300,0,0,Measurement,LOINC,
,3036152,35669-1,Amikacin [Mass/volume] in Serum or Plasma,Lab Test,Standard,04/01/2004,12/30/2099,"6,612","6,612",0,0,Measurement,LOINC,
,3008977,3319-1,Amikacin [Mass/volume] in Serum or Plasma --peak,Lab Test,Standard,12/31/1969,12/30/2099,"3,268","3,268",0,0,Measurement,LOINC,
,3020712,31097-9,Amikacin [Mass/volume] in Serum or Plasma --peak post extended interval dosing,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40762469,59378-0,Amikacin [Mass/volume] in Serum or Plasma --post dialysis,Lab Test,Standard,04/08/2010,12/30/2099,0,0,0,0,Measurement,LOINC,
,3000030,31099-5,Amikacin [Mass/volume] in Serum or Plasma --random post extended interval dosing,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3037123,3321-7,Amikacin [Mass/volume] in Serum or Plasma --trough,Lab Test,Standard,12/31/1969,12/30/2099,"267,183","267,183",0,0,Measurement,LOINC,
,3005574,31098-7,Amikacin [Mass/volume] in Serum or Plasma --trough post extended interval dosing,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,4048263,1550000,Amikacin measurement,Procedure,Standard,01/30/2002,12/30/2099,"231,732","548,364",0,0,Measurement,SNOMED,
,40759747,56628-1,Amikacin [Moles/volume] in Serum or Plasma,Lab Test,Standard,08/11/2009,12/30/2099,200,200,0,0,Measurement,LOINC,
,3029970,50802-8,Amikacin [Moles/volume] in Serum or Plasma --peak,Lab Test,Standard,10/24/2007,12/30/2099,0,0,0,0,Measurement,LOINC,
,3030247,50803-6,Amikacin [Moles/volume] in Serum or Plasma --trough,Lab Test,Standard,10/24/2007,12/30/2099,0,0,0,0,Measurement,LOINC,
,1023500,LP307835-1,Amikacin^post dialysis,LOINC Component,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,37073299,LP388863-5,Amikacin | Serum or Plasma | Drug toxicology,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,"277,263",0,0,Measurement,LOINC,
,4210343,326370009,Amino acids peritoneal dialysis solution,Pharma/Biol Product,Standard,01/30/2002,12/30/2099,0,0,0,0,Device,SNOMED,
,37024050,LP385229-2,Ammonia | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40757480,54349-6,Ammonia [Mass/volume] in Dialysis fluid,Lab Test,Standard,12/17/2008,12/30/2099,0,0,0,0,Measurement,LOINC,
,4245982,59960001,Ammonia measurement,Procedure,Standard,01/30/2002,12/30/2099,"294,738","779,594",0,0,Measurement,SNOMED,
,3039586,53081-6,Ammonia [Moles/volume] in Dialysis fluid,Lab Test,Standard,05/05/2008,12/30/2099,0,0,0,0,Measurement,LOINC,
,40654327,LG42820-7,Ammonia|Moment in time|Dialysis fluid|17.031 g/mole,LOINC Group,Classification,06/14/2018,12/30/2099,0,0,0,0,Measurement,LOINC,
,3044460,44789-6,Amylase and Creatinine clearance panel - Urine and Serum or Plasma,Lab Test,Standard,12/31/1969,12/30/2099,0,"169,443,429",0,0,Measurement,LOINC,
,37057539,LP382775-7,Amylase | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,37067730,LP382776-5,Amylase | Dialysis fluid peritoneal | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3008789,14390-9,Amylase [Enzymatic activity/volume] in Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,40762132,59039-8,Amylase [Enzymatic activity/volume] in Peritoneal dialysis fluid,Lab Test,Standard,03/08/2010,12/30/2099,0,0,0,0,Measurement,LOINC,
,4276028,64435009,Amylase measurement,Procedure,Standard,01/30/2002,12/30/2099,"1,728,182","11,087,421",0,0,Measurement,SNOMED,
,4184276,5422005,"Amylase measurement, peritoneal fluid",Procedure,Standard,01/30/2002,12/30/2099,0,460,0,0,Measurement,SNOMED,
,37078461,LP382793-0,Amylase.pancreatic | Dialysis fluid peritoneal | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,36303626,88710-9,Amylase.pancreatic [Enzymatic activity/volume] in Peritoneal dialysis fluid,Lab Test,Standard,06/14/2018,12/30/2099,0,0,0,0,Measurement,LOINC,
,432595,17602002,Amyloidosis,Disorder,Standard,01/30/2002,12/30/2099,"2,098,725","2,837,764",0,0,Condition,SNOMED,
,4067189,201337008,Amyloidosis of skin,Disorder,Standard,01/30/2002,12/30/2099,"2,286","3,413",0,0,Condition,SNOMED,
,44809610,854161000000102,Anaphylactoid reaction due to haemodialysis,Disorder,Standard,09/30/2012,12/30/2099,100,100,0,0,Observation,SNOMED,
,4272320,63675002,Anesthesia for procedure on arteries of upper arm and elbow,Procedure,Standard,01/30/2002,12/30/2099,0,"477,703",0,0,Procedure,SNOMED,
,4181417,52127004,"Anesthesia for shunt revision, dialysis",Procedure,Standard,01/30/2002,12/30/2099,0,"1,499,045",0,0,Procedure,SNOMED,
,4332246,432119003,Aneurysm,Disorder,Standard,07/30/2008,12/30/2099,"1,385,179","46,330,579",0,0,Condition,SNOMED,
,44807877,846801000000104,Aneurysm of anastomotic site of dialysis arteriovenous fistula,Disorder,Standard,09/30/2012,12/30/2099,100,100,0,0,Condition,SNOMED,
,44807874,846731000000104,Aneurysm of dialysis arteriovenous fistula,Disorder,Standard,09/30/2012,12/30/2099,200,400,0,0,Condition,SNOMED,
,44811116,863331000000100,Aneurysm of dialysis vascular access,Disorder,Standard,03/31/2013,12/30/2099,0,0,0,0,Condition,SNOMED,
,44807875,846761000000109,Aneurysm of needle site of dialysis arteriovenous fistula,Disorder,Standard,09/30/2012,12/30/2099,0,0,0,0,Condition,SNOMED,
,44807870,846671000000106,Aneurysm of superficialised artery of dialysis arteriovenous fistula,Disorder,Standard,09/30/2012,12/30/2099,100,100,0,0,Condition,SNOMED,
,4236076,360165004,Apheresis - action,Qualifier Value,Standard,01/30/2002,12/30/2099,0,"1,265,620",0,0,Observation,SNOMED,
,37072655,LP404140-8,Appearance | Dialysis fluid peritoneal | Specimen information,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,37078411,LP404139-0,Appearance | Dialysis fluid | Specimen information,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,40760944,57835-1,Appearance of Dialysis fluid,Lab Test,Standard,11/15/2009,12/30/2099,0,0,0,0,Measurement,LOINC,
,3041209,40606-6,Appearance of Peritoneal dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3039862,52812-5,Appearance of Spun Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,37057330,LP404141-6,Appearance | Spun Dialysis fluid | Specimen information,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,46274025,14130001000004103,Aquapheresis,Procedure,Standard,07/30/2015,12/30/2099,"11,011","11,011",0,0,Procedure,SNOMED,
,1008091,LP124904-6,Are you currently on renal dialysis,LOINC Component,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,LOINC,
,40768844,66161-1,Are you currently on renal dialysis [PhenX],Clinical Observation,Standard,06/01/2011,12/30/2099,0,0,0,0,Observation,LOINC,
,762713,430921000124104,Army dialysis program,Procedure,Standard,08/31/2012,12/30/2099,0,0,0,0,Observation,SNOMED,
,37033607,LP388147-3,Arsenic | Dialysis fluid | Drug toxicology,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,3038676,40701-5,Arsenic [Mass/volume] in Dialysis fluid,Lab Test,Standard,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
,4244200,38463008,Arsenic measurement,Procedure,Standard,01/30/2002,12/30/2099,"9,334","147,369",0,0,Measurement,SNOMED,
,1988936,99734-6,Arterial lumen volume Dialysis catheter,Clinical Observation,Standard,02/15/2022,12/30/2099,0,0,0,0,Measurement,LOINC,
,4119723,287364001,Arteriovenous anastomosis,Procedure,Standard,01/30/2002,12/30/2099,100,"4,709,999",0,0,Procedure,SNOMED,
,4197217,79827002,Arteriovenous anastomosis for renal dialysis,Procedure,Standard,01/30/2002,12/30/2099,"614,857","4,349,293",0,0,Procedure,SNOMED,
,44809035,844011000000103,Arteriovenous extracorporeal carbon dioxide removal,Procedure,Standard,09/30/2012,12/30/2099,0,0,0,0,Procedure,SNOMED,
,37206602,786452006,Arteriovenous extracorporeal membrane oxygenation,Procedure,Standard,07/30/2019,12/30/2099,0,0,0,0,Procedure,SNOMED,
,4234480,439470001,Arteriovenous fistula,Disorder,Standard,01/30/2009,12/30/2099,"412,723","963,449",0,0,Condition,SNOMED,
,4116326,302946006,Arteriovenous fistula aneurysm,Disorder,Standard,01/30/2002,12/30/2099,"1,263","1,663",0,0,Condition,SNOMED,
,4120283,234203000,Arteriovenous fistula stenosis,Disorder,Standard,01/30/2002,12/30/2099,"2,321","3,687",0,0,Condition,SNOMED,
,4094022,280972008,Arteriovenous graft thrombosis,Disorder,Standard,01/30/2002,12/30/2099,"1,004","1,204",0,0,Condition,SNOMED,
,4183419,54817007,Arteriovenous shunt for renal dialysis by external cannula,Procedure,Standard,01/30/2002,12/30/2099,100,"10,662",0,0,Procedure,SNOMED,
,200528,389026000,Ascites,Disorder,Standard,01/30/2003,12/30/2099,"25,566,444","30,915,825",0,0,Condition,SNOMED,
,37204516,783187005,Aseptic peritoneal eosinophilia after dialysis,Disorder,Standard,07/30/2019,12/30/2099,0,0,0,0,Condition,SNOMED,
,4308838,213293008,Aseptic peritonitis,Disorder,Standard,01/30/2002,12/30/2099,100,500,0,0,Condition,SNOMED,
,4219100,72391004,Aseptic peritonitis following procedure,Disorder,Standard,01/30/2002,12/30/2099,100,300,0,0,Condition,SNOMED,
,37067803,LP382831-8,Aspartate aminotransferase | Dialysis fluid | Chemistry - non-challenge,LOINC Hierarchy,Classification,12/31/1969,12/30/2099,0,0,0,0,Measurement,LOINC,
