concept set,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,Domain,Vocabulary,,,,
end stage kidney disease,45887658,1019319,"End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4 Hierarchy,Classification,10/9/14,12/30/99,Observation,CPT4,,,,
end stage kidney disease,45887120,10076412,Chronic kidney disease stage 5,LLT,Classification,2/28/15,12/30/99,Condition,MedDRA,,,,
end stage kidney disease,45772751,704667004,Hypertension concurrent and due to end stage renal disease on dialysis,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45769906,9.0791E+13,End stage renal disease on dialysis due to type 2 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45769904,9.0771E+13,End stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45769903,9.0761E+13,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45768813,707324008,Anemia in end stage renal disease,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45757444,1.40101E+14,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45757393,1.28001E+14,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45757392,1.27991E+14,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,45601717,N18.0,End-stage renal disease,ICD10 code,Non-Standard,4/30/90,12/30/09,Condition,ICD10,,,,
end stage kidney disease,45582394,N18.5,"Chronic kidney disease, stage 5",ICD10 code,Non-Standard,12/31/09,12/30/99,Condition,ICD10,,,,
end stage kidney disease,45548653,N18.6,End stage renal disease,4-char billing code,Non-Standard,12/31/69,12/30/99,Condition,ICD10CM,,,,
end stage kidney disease,45511671,1Z1K.00,Chronic kidney disease stage 5 with proteinuria,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45498372,1Z1L.11,CKD stage 5 without proteinuria,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45496861,K050.00,End stage renal failure,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45487053,K0D..00,End-stage renal disease,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45471846,1Z1L.00,Chronic kidney disease stage 5 without proteinuria,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45454923,1Z14.00,Chronic kidney disease stage 5,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45443468,K055.00,Chronic kidney disease stage 5,Read,Non-Standard,3/31/14,12/30/99,Condition,Read,,,,
end stage kidney disease,45430268,K05..12,End stage renal failure,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,45428424,1Z1K.11,CKD stage 5 with proteinuria,Read,Non-Standard,12/31/69,12/30/99,Condition,Read,,,,
end stage kidney disease,44837192,585.5,"Chronic kidney disease, Stage V",4-dig billing code,Non-Standard,12/31/69,12/30/99,Condition,ICD9CM,,,,
end stage kidney disease,44828971,403.91,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",5-dig billing code,Non-Standard,12/31/69,12/30/99,Condition,ICD9CM,,,,
end stage kidney disease,44827889,585.6,End stage renal disease,4-dig billing code,Non-Standard,12/31/69,12/30/99,Condition,ICD9CM,,,,
end stage kidney disease,44825426,403.01,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",5-dig billing code,Non-Standard,12/31/69,12/30/99,Condition,ICD9CM,,,,
end stage kidney disease,44792255,3.24541E+14,Chronic kidney disease stage 5 without proteinuria,Disorder,Standard,3/31/08,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,44792254,3.24501E+14,Chronic kidney disease stage 5 with proteinuria,Disorder,Standard,3/31/08,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,44784638,9.6711E+13,Hypertensive heart AND chronic kidney disease stage 5,Disorder,Standard,1/30/14,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,44782813,698810000,Hypertensive renal disease with end stage renal failure,Disorder,Non-Standard,1/30/14,1/30/18,Condition,SNOMED,,,,
end stage kidney disease,44782717,1.53891E+14,End stage renal disease on dialysis due to hypertension,Disorder,Standard,1/30/14,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,44782690,1.29161E+14,Chronic kidney disease stage 5 due to hypertension,Disorder,Standard,8/31/12,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,43531562,7.11E+11,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,Standard,7/30/13,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,43021864,2.86371E+14,Malignant hypertensive end stage renal disease on dialysis,Disorder,Standard,1/30/13,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,43020455,2.85841E+14,Malignant hypertensive end stage renal disease,Disorder,Standard,1/30/13,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,43020437,1.53851E+14,Malignant hypertensive chronic kidney disease stage 5,Disorder,Standard,1/30/13,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,42738679,90925,"End-stage renal disease (ESRD) related services (less than full month), per day; for patients twenty years of age and older",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738678,90924,"End-stage renal disease (ESRD) related services (less than full month), per day; for patients between twelve and nineteen years of age",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738677,90923,"End-stage renal disease (ESRD) related services (less than full month), per day; for patients between two and eleven years of age",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738676,90922,"End-stage renal disease (ESRD) related services (less than full month), per day; for patients younger than two years of age",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738339,90921,End-stage renal disease (ESRD) related services per full month; for patients twenty years of age and older,CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738338,90920,"End-stage renal disease (ESRD) related services per full month; for patients between twelve and nineteen years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738337,90919,"End-stage renal disease (ESRD) related services per full month; for patients between two and eleven years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,42738336,90918,"End-stage renal disease (ESRD) related services per full month; for patients younger than two years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents",CPT4,Non-Standard,12/31/69,4/5/09,Observation,CPT4,,,,
end stage kidney disease,40395607,197755007,End stage renal failure,Disorder,Non-Standard,1/30/02,1/30/02,Condition,SNOMED,,,,
end stage kidney disease,40395141,197655004,End stage renal failure,Disorder,Non-Standard,1/30/02,1/30/02,Condition,SNOMED,,,,
end stage kidney disease,37080788,10014647,End stage renal failure,LLT,Classification,12/31/69,12/30/99,Condition,MedDRA,,,,
end stage kidney disease,37080787,10014646,End stage renal disease (ESRD),LLT,Classification,12/31/69,12/30/99,Condition,MedDRA,,,,
end stage kidney disease,37018886,1.11411E+14,End stage renal disease due to hypertension,Disorder,Standard,1/30/16,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,37018761,714153000,Chronic kidney disease stage 5 with transplant,Disorder,Standard,1/30/16,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,37017813,714152005,Chronic kidney disease stage 5 on dialysis,Disorder,Standard,1/30/16,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,35209278,N18.5,"Chronic kidney disease, stage 5",4-char billing code,Non-Standard,12/31/06,12/30/99,Condition,ICD10CM,,,,
end stage kidney disease,4128200,236434000,End stage renal failure untreated by renal replacement therapy,Disorder,Standard,1/30/02,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,4125970,236436003,End stage renal failure with renal transplant,Disorder,Standard,1/30/02,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,4030520,236435004,End stage renal failure on dialysis,Disorder,Standard,1/30/02,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,3561160,9.50321E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Undefined,Non-Standard,3/31/15,3/31/15,Observation,SNOMED,,,,
end stage kidney disease,3561159,9.50301E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Undefined,Non-Standard,3/31/15,3/31/15,Observation,SNOMED,,,,
end stage kidney disease,3561158,9.50261E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Undefined,Non-Standard,3/31/15,3/31/15,Observation,SNOMED,,,,
end stage kidney disease,3559379,8.34041E+14,Chronic kidney disease stage 5,Undefined,Non-Standard,3/31/12,3/31/12,Observation,SNOMED,,,,
end stage kidney disease,3555448,3.24561E+14,Chronic kidney disease stage 5 without proteinuria,Undefined,Non-Standard,3/31/08,3/31/08,Observation,SNOMED,,,,
end stage kidney disease,3555447,3.24551E+14,Chronic kidney disease stage 5 without proteinuria,Undefined,Non-Standard,3/31/08,3/31/08,Observation,SNOMED,,,,
end stage kidney disease,3555446,3.24521E+14,Chronic kidney disease stage 5 with proteinuria,Undefined,Non-Standard,3/31/08,3/31/08,Observation,SNOMED,,,,
end stage kidney disease,3555445,3.24511E+14,Chronic kidney disease stage 5 with proteinuria,Undefined,Non-Standard,3/31/08,3/31/08,Observation,SNOMED,,,,
end stage kidney disease,3554166,2.19601E+14,End stage renal disease,Undefined,Non-Standard,3/31/06,3/31/06,Observation,SNOMED,,,,
end stage kidney disease,3553409,2.00471E+14,Chronic kidney disease stage 5,Disorder,Non-Standard,3/31/06,9/30/08,Condition,SNOMED,,,,
end stage kidney disease,1126443,M1187,Patients with a diagnosis of end stage renal disease (esrd),HCPCS,Non-Standard,12/31/22,12/30/99,Observation,HCPCS,,,,
end stage kidney disease,1126399,M1188,Patients with a diagnosis of chronic kidney disease (ckd) stage 5,HCPCS,Non-Standard,12/31/22,12/30/99,Observation,HCPCS,,,,
end stage kidney disease,788316,10077512,End stage renal disease,PT,Classification,8/31/16,12/30/99,Condition,MedDRA,,,,
end stage kidney disease,762973,4.34431E+14,Hypertensive end stage renal disease,Disorder,Non-Standard,2/28/13,2/28/23,Condition,SNOMED,,,,
end stage kidney disease,760850,1.20261E+14,Benign hypertensive heart disease and chronic renal disease stage 5,Disorder,Standard,8/31/15,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,601166,3.68471E+14,End stage renal disease on dialysis due to drug induced diabetes mellitus,Disorder,Standard,1/30/21,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,601165,3.68461E+14,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,Disorder,Standard,1/30/21,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,443611,433146000,Chronic kidney disease stage 5,Disorder,Standard,7/30/08,12/30/99,Condition,SNOMED,,,,
end stage kidney disease,193782,46177005,End-stage renal disease,Disorder,Standard,1/30/02,12/30/99,Condition,SNOMED,,,,
type 1 diabetes,35532123,10012608,Diabetes mellitus insulin-dependent,LLT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,35532127,10022497,Insulin-dependent diabetes mellitus,LLT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,201254,46635009,Type 1 diabetes mellitus,Disorder,Standard,1/30/02,12/30/99,"90,279,083","195,844,774","5,497,426","15,233,761",Condition,SNOMED
type 1 diabetes,35532126,10022482,Insulin dependent diabetic,LLT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,35532130,10045228,Type I diabetes mellitus,LLT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,35506621,10067584,Type 1 diabetes mellitus,PT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,35532125,10021211,IDDM,LLT,Classification,12/31/69,12/30/99,0,"195,844,774",0,"15,233,761",Condition,MedDRA
type 1 diabetes,435216,420868002,Disorder due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"5,153,521","110,453,919","921,960","11,992,387",Condition,SNOMED
type 1 diabetes,443412,313435000,Type 1 diabetes mellitus without complication,Disorder,Standard,1/30/02,12/30/99,"102,643,428","102,643,428","9,463,052","9,463,052",Condition,SNOMED
type 1 diabetes,45533018,E10.65,Type 1 diabetes mellitus with hyperglycemia,5-char billing code,Non-Standard,12/31/69,12/30/99,"101,308,016","101,308,016",0,0,Condition,ICD10CM
type 1 diabetes,35206879,E10.9,Type 1 diabetes mellitus without complications,4-char billing code,Non-Standard,12/31/06,12/30/99,"60,059,536","60,059,536",0,0,Condition,ICD10CM
type 1 diabetes,37016348,3.67991E+14,Hyperglycemia due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"50,658,939","50,658,939","2,939,254","2,939,254",Condition,SNOMED
type 1 diabetes,44820682,250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"30,954,658","30,954,658",0,0,Condition,ICD9CM
type 1 diabetes,377821,421468001,Disorder of nervous system due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"8,734,557","16,708,939","1,410,523","2,488,357",Condition,SNOMED
type 1 diabetes,45600636,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,5-char billing code,Non-Standard,12/31/69,12/30/99,"16,357,356","16,357,356",0,0,Condition,ICD10CM
type 1 diabetes,35206878,E10.8,Type 1 diabetes mellitus with unspecified complications,4-char billing code,Non-Standard,12/31/06,12/30/99,"12,228,080","12,228,080",0,0,Condition,ICD10CM
type 1 diabetes,42538169,739681000,Disorder of eye due to type 1 diabetes mellitus,Disorder,Standard,1/30/18,12/30/99,"2,850,589","12,025,452","671,631","2,034,892",Condition,SNOMED
type 1 diabetes,200687,421893009,Renal disorder due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"11,638,811","11,648,099","1,218,865","1,222,469",Condition,SNOMED
type 1 diabetes,44821787,250.03,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"11,153,595","11,153,595",0,0,Condition,ICD9CM
type 1 diabetes,45600640,E10.649,Type 1 diabetes mellitus with hypoglycemia without coma,6-char billing code,Non-Standard,12/31/69,12/30/99,"9,746,842","9,746,842",0,0,Condition,ICD10CM
type 1 diabetes,4227210,420789003,Retinopathy due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"2,224,962","8,973,834","368,980","1,299,521",Condition,SNOMED
type 1 diabetes,37312218,789542009,Neuropathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/20,12/30/99,174,"7,484,735",59,"969,841",Condition,SNOMED
type 1 diabetes,45547624,E10.69,Type 1 diabetes mellitus with other specified complication,5-char billing code,Non-Standard,12/31/69,12/30/99,"6,858,268","6,858,268",0,0,Condition,ICD10CM
type 1 diabetes,45547621,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,5-char billing code,Non-Standard,12/31/69,12/30/99,"5,663,550","5,663,550",0,0,Condition,ICD10CM
type 1 diabetes,37018566,7.1791E+13,Peripheral neuropathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"7,370","5,355,200","1,431","715,596",Condition,SNOMED
type 1 diabetes,45769876,8.4371E+13,Hypoglycemia due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,"4,886,710","4,987,257","796,899","820,444",Condition,SNOMED
type 1 diabetes,45605398,E10.621,Type 1 diabetes mellitus with foot ulcer,6-char billing code,Non-Standard,12/31/69,12/30/99,"4,850,896","4,850,896",0,0,Condition,ICD10CM
type 1 diabetes,37017431,713705003,Polyneuropathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"4,772,747","4,772,747","616,847","616,847",Condition,SNOMED
type 1 diabetes,45595795,E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy,5-char billing code,Non-Standard,12/31/69,12/30/99,"4,771,866","4,771,866",0,0,Condition,ICD10CM
type 1 diabetes,45600638,E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",5-char billing code,Non-Standard,12/31/69,12/30/99,"4,345,705","4,345,705",0,0,Condition,ICD10CM
type 1 diabetes,44829881,250.91,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"4,173,590","4,173,590",0,0,Condition,ICD9CM
type 1 diabetes,44822934,250.13,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"3,708,780","3,708,780",0,0,Condition,ICD9CM
type 1 diabetes,45763584,6.0971E+13,Proliferative retinopathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,"3,610,553","3,610,554","306,292","306,293",Condition,SNOMED
type 1 diabetes,318712,421365002,Peripheral circulatory disorder due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"3,494,215","3,494,408","626,555","626,625",Condition,SNOMED
type 1 diabetes,44836918,250.81,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"3,453,862","3,453,862",0,0,Condition,ICD9CM
type 1 diabetes,45763583,6.0961E+13,Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,"368,115","3,054,438","58,434","608,110",Condition,SNOMED
type 1 diabetes,36715571,721283000,Acidosis due to type 1 diabetes mellitus,Disorder,Standard,1/30/17,12/30/99,9,"3,035,686",5,"616,357",Condition,SNOMED
type 1 diabetes,439770,420270002,Ketoacidosis due to type 1 diabetes mellitus,Disorder,Standard,7/30/06,12/30/99,"2,689,390","3,035,677","549,017","616,352",Condition,SNOMED
type 1 diabetes,4063042,199229001,Pre-existing type 1 diabetes mellitus,Disorder,Standard,1/30/02,12/30/99,"60,356","2,559,620","20,820","208,885",Condition,SNOMED
type 1 diabetes,43531009,609566000,Pregnancy and type 1 diabetes mellitus,Disorder,Standard,7/30/13,12/30/99,"1,171","2,500,435",388,"188,453",Condition,SNOMED
type 1 diabetes,43531008,609564002,Pre-existing type 1 diabetes mellitus in pregnancy,Disorder,Standard,7/30/13,12/30/99,"2,499,264","2,499,264","188,065","188,065",Condition,SNOMED
type 1 diabetes,44819501,250.63,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"2,449,604","2,449,604",0,0,Condition,ICD9CM
type 1 diabetes,44831046,250.61,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"2,435,852","2,435,852",0,0,Condition,ICD9CM
type 1 diabetes,45770902,1.10141E+14,Ulcer of lower limb due to type 1 diabetes mellitus,Disorder,Standard,1/30/15,12/30/99,"2,425,451","2,426,087","240,354","240,499",Condition,SNOMED
type 1 diabetes,37016767,712882000,Autonomic neuropathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"2,121,974","2,129,190","252,248","254,151",Condition,SNOMED
type 1 diabetes,45533017,E10.43,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,5-char billing code,Non-Standard,12/31/69,12/30/99,"2,119,200","2,119,200",0,0,Condition,ICD10CM
type 1 diabetes,45552379,E10.21,Type 1 diabetes mellitus with diabetic nephropathy,5-char billing code,Non-Standard,12/31/69,12/30/99,"2,115,481","2,115,481",0,0,Condition,ICD10CM
type 1 diabetes,45539105,O24.013,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester",6-char billing code,Non-Standard,12/31/69,12/30/99,"2,105,270","2,105,270",0,0,Condition,ICD10CM
type 1 diabetes,45542736,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,6-char billing code,Non-Standard,12/31/69,12/30/99,"1,907,291","1,907,291",0,0,Condition,ICD10CM
type 1 diabetes,37016179,1.38881E+14,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"1,876,574","1,876,585","398,957","398,962",Condition,SNOMED
type 1 diabetes,45600637,E10.29,Type 1 diabetes mellitus with other diabetic kidney complication,5-char billing code,Non-Standard,12/31/69,12/30/99,"1,691,924","1,691,924",0,0,Condition,ICD10CM
type 1 diabetes,45547622,E10.51,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,5-char billing code,Non-Standard,12/31/69,12/30/99,"1,597,840","1,597,840",0,0,Condition,ICD10CM
type 1 diabetes,44824071,250.11,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,539,600","1,539,600",0,0,Condition,ICD9CM
type 1 diabetes,44822936,250.51,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,498,499","1,498,499",0,0,Condition,ICD9CM
type 1 diabetes,44834549,250.43,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,480,878","1,480,878",0,0,Condition,ICD9CM
type 1 diabetes,37200167,E10.3513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",7-char billing code,Non-Standard,12/31/16,12/30/99,"1,388,948","1,388,948",0,0,Condition,ICD10CM
type 1 diabetes,45587291,O24.012,"Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester",6-char billing code,Non-Standard,12/31/69,12/30/99,"1,383,148","1,383,148",0,0,Condition,ICD10CM
type 1 diabetes,44822935,250.41,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,334,593","1,334,593",0,0,Condition,ICD9CM
type 1 diabetes,44833368,250.83,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,325,786","1,325,786",0,0,Condition,ICD9CM
type 1 diabetes,44820684,250.53,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,172,564","1,172,564",0,0,Condition,ICD9CM
type 1 diabetes,44819504,250.93,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"1,151,538","1,151,538",0,0,Condition,ICD9CM
type 1 diabetes,44825264,250.71,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled",5-dig billing code,Non-Standard,12/31/69,12/30/99,"912,619","912,619",0,0,Condition,ICD9CM
type 1 diabetes,45548715,O24.011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester",6-char billing code,Non-Standard,12/31/69,12/30/99,"856,316","856,316",0,0,Condition,ICD10CM
type 1 diabetes,45542737,E10.52,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,5-char billing code,Non-Standard,12/31/69,12/30/99,"850,113","850,113",0,0,Condition,ICD10CM
type 1 diabetes,37016180,1.38891E+14,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,Disorder,Standard,1/30/16,12/30/99,"809,653","809,656","150,695","150,697",Condition,SNOMED
type 1 diabetes,37200147,E10.3293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",7-char billing code,Non-Standard,12/31/16,12/30/99,"806,487","806,487",0,0,Condition,ICD10CM
type 1 diabetes,45581349,E10.59,Type 1 diabetes mellitus with other circulatory complications,5-char billing code,Non-Standard,12/31/69,12/30/99,"735,113","735,113",0,0,Condition,ICD10CM
type 1 diabetes,37200165,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",7-char billing code,Non-Standard,12/31/16,12/30/99,"722,196","722,196",0,0,Condition,ICD10CM
type 1 diabetes,37200166,E10.3512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",7-char billing code,Non-Standard,12/31/16,12/30/99,"706,380","706,380",0,0,Condition,ICD10CM
type 1 diabetes,45576438,E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,5-char billing code,Non-Standard,12/31/69,12/30/99,"703,617","703,617",0,0,Condition,ICD10CM
