"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Domain","Vocabulary","Count"
"","4089897","280871000","Vascular degeneration","Disorder","Standard","418","406,837,012","0","0","Condition","SNOMED","1"
"","4267789","365852007","Respiratory function finding","Clinical Finding","Standard","6,399","398,726,774","0","0","Condition","SNOMED","1"
"","4179841","363789004","General characteristic of patient","Observable Entity","Standard","0","397,954,578","0","0","Observation","SNOMED","1"
"","260131","41427001","Disorder of bronchus","Disorder","Standard","3,360,897","395,016,438","0","0","Condition","SNOMED","1"
"","4239283","364066008","Cardiovascular observable","Observable Entity","Standard","0","338,479,231","0","0","Measurement","SNOMED","1"
"","4082382","182832007","Management of drug regimen","Procedure","Standard","575,820","318,969,780","0","0","Procedure","SNOMED","1"
"","319835","42343007","Congestive heart failure","Disorder","Standard","287,331,024","314,149,404","0","0","Condition","SNOMED","1"
"","253506","205237003","Pneumonitis","Disorder","Standard","68,843","290,947,011","0","0","Condition","SNOMED","2"
"","4045314","122120003","Streptococcus pneumoniae antigen assay","Procedure","Standard","13,932","280,387,086","0","0","Measurement","SNOMED","1"
"","4039553","117883007","Streptococcus pneumoniae group A antigen assay","Procedure","Standard","145,826","280,033,151","0","0","Measurement","SNOMED","1"
"","4318806","22144002","Aerosol or vapor inhalation for sputum induction for diagnostic purposes","Procedure","Standard","0","264,419,861","0","0","Procedure","SNOMED","1"
"","2314026","94640","Pressurized or nonpressurized inhalation treatment for acute airway obstruction for therapeutic purposes and/or for diagnostic purposes such as sputum induction with an aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure b","CPT4","Standard","264,419,861","264,419,861","0","0","Procedure","CPT4","1"
"","42709887","449759005","Hypertensive complication","Disorder","Standard","523,206","259,902,037","0","0","Condition","SNOMED","1"
"","4318404","95436008","Lung consolidation","Disorder","Standard","10,384","244,154,930","0","0","Condition","SNOMED","2"
"","4082264","182777000","Monitoring of patient","Procedure","Standard","57,317,089","241,373,049","0","0","Observation","SNOMED","1"
"","4205407","308537004","Monitoring status","Clinical Finding","Standard","7,146","218,963,557","0","0","Observation","SNOMED","1"
"","4256228","409622000","Respiratory failure","Disorder","Standard","30,657,914","181,056,325","0","0","Condition","SNOMED","2"
"","4115105","300851005","Mass of respiratory structure","Clinical Finding","Standard","200","177,724,135","0","0","Condition","SNOMED","1"
"","4306074","387662008","Respiratory tract procedure","Procedure","Standard","136","176,258,211","0","0","Procedure","SNOMED","1"
"","4041287","118240005","Finding by method","Clinical Finding","Standard","2,473","172,712,941","0","0","Observation","SNOMED","1"
"","4254900","410182004","Physical examination assessment","Procedure","Standard","100","172,111,151","0","0","Procedure","SNOMED","1"
"","440927","243872007","High risk drug monitoring status","Clinical Finding","Standard","170,401,338","170,519,686","0","0","Observation","SNOMED","1"
"","201313","38481006","Hypertensive renal disease","Disorder","Standard","668,488","163,700,115","0","0","Condition","SNOMED","1"
"","321462","40172005","Cardiac complication","Disorder","Standard","1,655,602","148,421,107","0","0","Condition","SNOMED","1"
"","4269989","365949003","Health-related behavior finding","Clinical Finding","Standard","248,694","146,948,880","0","0","Observation","SNOMED","1"
"","197304","95344007","Ulcer of lower extremity","Disorder","Standard","22,592,963","146,792,771","0","0","Condition","SNOMED","1"
"","197320","14669001","Acute kidney injury","Disorder","Standard","138,248,426","138,933,373","0","0","Condition","SNOMED","1"
"","4116778","301232003","Lesion of lung","Disorder","Standard","33,533","136,848,233","0","0","Condition","SNOMED","1"
"","4225436","84635008","Disease process or condition education","Procedure","Standard","568","133,891,463","0","0","Observation","SNOMED","1"
"","4080012","238157005","Disorder of blood gas","Disorder","Standard","100","129,661,815","0","0","Condition","SNOMED","1"
"","4238805","364062005","Respiration observable","Observable Entity","Standard","111,990,633","126,830,731","0","0","Observation","SNOMED","1"
"","319049","65710008","Acute respiratory failure","Disorder","Standard","66,149,350","124,917,251","0","0","Condition","SNOMED","2"
"","4329847","22298006","Myocardial infarction","Disorder","Standard","897,549","124,063,286","0","0","Condition","SNOMED","2"
"","132797","91302008","Sepsis","Disorder","Standard","97,386,051","120,281,972","0","0","Condition","SNOMED","1"
"","4144684","3457005","Patient referral","Procedure","Standard","1,273,189","110,018,825","0","0","Observation","SNOMED","1"
"","4216060","81375008","Physical assessment","Procedure","Standard","19,137","109,061,328","0","0","Procedure","SNOMED","1"
"","45768910","707444001","Uncomplicated asthma","Disorder","Standard","75,523,885","100,580,730","0","0","Condition","SNOMED","3"
"","437779","85769006","Streptococcal infectious disease","Disorder","Standard","3,415,972","100,058,904","0","0","Condition","SNOMED","1"
"","4024601","225297008","Care planning and problem solving actions","Procedure","Standard","41,663","91,886,415","0","0","Procedure","SNOMED","1"
"","433208","39785005","Disorder of pulmonary circulation","Disorder","Standard","512,581","84,385,286","0","0","Condition","SNOMED","2"
"","435119","14817008","Late effect of injury","Disorder","Standard","1,100,860","81,420,795","0","0","Condition","SNOMED","1"
"","44782429","104931000119100","Chronic kidney disease due to hypertension","Disorder","Standard","48,664,225","80,101,185","0","0","Condition","SNOMED","1"
"","254061","60046008","Pleural effusion","Disorder","Standard","73,380,506","73,939,439","0","0","Condition","SNOMED","1"
"","319844","413439005","Acute ischemic heart disease","Disorder","Standard","3,141,088","70,345,074","0","0","Condition","SNOMED","1"
"","4110275","254291000","Staging and scales","Staging / Scales","Standard","0","69,966,428","0","0","Measurement","SNOMED","1"
"","4270122","364178005","Urogenital observable","Observable Entity","Standard","0","67,739,211","0","0","Observation","SNOMED","1"
"","4219540","416342005","Procedure related observable","Observable Entity","Standard","0","64,275,177","0","0","Observation","SNOMED","1"
"","42536950","736015003","Oxygenation observable","Observable Entity","Standard","0","63,637,054","0","0","Measurement","SNOMED","1"
"","4203780","53950000","Respiratory therapy","Procedure","Standard","27,844,957","63,014,234","0","0","Procedure","SNOMED","1"
"","40479576","441530006","Chronic diastolic heart failure","Disorder","Standard","27,560,804","60,702,063","0","0","Condition","SNOMED","1"
"","4021773","106062002","Diaphragmatic finding","Clinical Finding","Standard","100","58,329,527","0","0","Condition","SNOMED","1"
"","435742","371583007","Disease due to Gram-negative bacteria","Disorder","Standard","2,080,265","57,292,608","0","0","Condition","SNOMED","1"
"","257581","281239006","Acute asthma","Disorder","Standard","29,594,051","56,957,001","0","0","Condition","SNOMED","3"
"","4199812","315215002","Disorder excluded","Context-dependent","Standard","6,874","56,638,396","0","0","Observation","SNOMED","1"
"","141693","371622005","Elevated blood-pressure reading without diagnosis of hypertension","Context-dependent","Standard","55,747,918","55,747,918","0","0","Observation","SNOMED","2"
"","4264836","364624006","Pain / sensation observable","Observable Entity","Standard","100","55,061,560","0","0","Observation","SNOMED","1"
"","4028389","128601007","Infectious disease of lung","Disorder","Standard","7,743","54,850,088","0","0","Condition","SNOMED","1"
"","4149530","268925001","Examination of respiratory system","Procedure","Standard","457,990","50,427,084","0","0","Procedure","SNOMED","1"
"","4151768","315609007","Pack years","Staging / Scales","Standard","47,495,338","47,495,338","0","0","Measurement","SNOMED","1"
"","314971","39871006","Chronic respiratory failure","Disorder","Standard","10,215,761","47,173,034","0","0","Condition","SNOMED","1"
"","4191479","389145006","Allergic asthma","Disorder","Standard","2,501,754","46,110,682","0","0","Condition","SNOMED","2"
"","314754","56018004","Wheezing","Clinical Finding","Standard","44,893,520","45,215,226","0","0","Condition","SNOMED","1"
"","37395564","10676831000119101","Hypoxemic respiratory failure","Disorder","Standard","2,005,872","44,403,231","0","0","Condition","SNOMED","4"
"","4132090","127339009","Acute metabolic disorder","Disorder","Standard","100","44,206,873","0","0","Condition","SNOMED","1"
"","261880","46621007","Atelectasis","Disorder","Standard","42,220,225","44,052,060","0","0","Condition","SNOMED","1"
"","435517","51387008","Acidosis","Disorder","Standard","30,813,122","43,985,588","0","0","Condition","SNOMED","1"
"","312950","424643009","IgE-mediated allergic asthma","Disorder","Standard","36,696,075","43,606,301","0","0","Condition","SNOMED","2"
"","261325","87433001","Pulmonary emphysema","Disorder","Standard","35,166,214","41,715,676","0","0","Condition","SNOMED","2"
"","4146339","308021002","Seen in clinic","Clinical Finding","Standard","501,811","41,500,604","0","0","Observation","SNOMED","1"
"","4023405","116147009","Cytologic test","Procedure","Standard","11,276,069","41,125,261","0","0","Measurement","SNOMED","1"
"","4201174","316358009","Injury of lung","Disorder","Standard","53,537","39,677,790","0","0","Condition","SNOMED","1"
"","4086751","243860001","Diabetic monitoring status","Clinical Finding","Standard","1,119,505","37,633,664","0","0","Observation","SNOMED","1"
"","443410","312342009","Infective pneumonia","Disorder","Standard","1,147,700","37,146,214","0","0","Condition","SNOMED","5"
"","4115406","301355003","Pain of respiratory structure","Clinical Finding","Standard","100","37,035,133","0","0","Condition","SNOMED","1"
"","4012113","10295004","Chronic viral hepatitis","Disorder","Standard","227,624","36,163,658","0","0","Condition","SNOMED","1"
"","4208662","312119006","Bacterial lower respiratory infection","Disorder","Standard","1,938","35,816,082","0","0","Condition","SNOMED","3"
"","260125","5505005","Acute bronchiolitis","Disorder","Standard","25,385,548","34,327,428","0","0","Condition","SNOMED","1"
"","40481042","443343001","Acute diastolic heart failure","Disorder","Standard","7,232,150","33,573,440","0","0","Condition","SNOMED","1"
"","4155468","370218001","Mild asthma","Disorder","Standard","77,985","33,524,304","0","0","Condition","SNOMED","2"
"","4194254","392091000","Care regimes assessment","Procedure","Standard","459","32,964,511","0","0","Procedure","SNOMED","1"
"","45768449","706882009","Hypertensive crisis","Disorder","Standard","417,953","32,794,551","0","0","Condition","SNOMED","1"
"","46270151","152921000119101","Dependence on respiratory device","Clinical Finding","Standard","200","32,587,771","0","0","Observation","SNOMED","2"
"","528988","798222","Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","58,308","32,116,190","0","0","Drug","RxNorm","1"
"","528986","798220","Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","49,076","32,106,758","0","0","Drug","RxNorm","1"
"","528990","798224","Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","48,989","32,106,671","0","0","Drug","RxNorm","1"
"","529042","798226","Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","48,989","32,106,671","0","0","Drug","RxNorm","1"
"","529044","798228","Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","48,989","32,106,671","0","0","Drug","RxNorm","1"
"","529046","798230","Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","48,989","32,106,671","0","0","Drug","RxNorm","1"
"","529072","798232","Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","48,989","32,106,671","0","0","Drug","RxNorm","1"
"","4016912","170549007","Chronic disease monitoring","Procedure","Standard","280,921","31,976,683","0","0","Observation","SNOMED","1"
"","4024560","106005003","Hypertension AND/OR vomiting complicating pregnancy childbirth AND/OR puerperium","Disorder","Standard","548","31,449,335","0","0","Condition","SNOMED","1"
"","4324261","7159003","Pulmonary necrosis","Disorder","Standard","145,967","31,235,789","0","0","Condition","SNOMED","1"
"","4149297","310243009","Nutritional assessment","Procedure","Standard","23,570","30,922,726","0","0","Procedure","SNOMED","1"
"","444101","46113002","Hypertensive heart failure","Disorder","Standard","24,874,817","29,618,869","0","0","Condition","SNOMED","1"
"","312940","67905004","Acute-on-chronic respiratory failure","Disorder","Standard","15,306,809","28,227,720","0","0","Condition","SNOMED","2"
"","4141978","427603009","Intermittent asthma","Disorder","Standard","331,292","27,626,919","0","0","Condition","SNOMED","2"
"","4289933","70272006","Malignant hypertension","Disorder","Standard","182,821","27,563,300","0","0","Condition","SNOMED","1"
"","46273463","10685111000119102","Upper respiratory tract infection due to Influenza","Disorder","Standard","2,170,150","27,483,277","0","0","Condition","SNOMED","1"
"","317898","78975002","Malignant essential hypertension","Disorder","Standard","27,117,085","27,117,085","0","0","Condition","SNOMED","2"
"","4197819","51615001","Fibrosis of lung","Disorder","Standard","6,715,903","26,376,095","0","0","Condition","SNOMED","1"
"","4027557","128289001","Chronic metabolic disorder","Disorder","Standard","200","26,354,816","0","0","Condition","SNOMED","1"
"","4119786","233703007","Interstitial lung disease","Disorder","Standard","4,958,627","26,280,013","0","0","Condition","SNOMED","3"
"","37153603","1222606000","Continuous mandatory ventilation","Procedure","Standard","0","25,399,386","0","0","Procedure","SNOMED","1"
"","40480602","443253003","Acute on chronic systolic heart failure","Disorder","Standard","17,511,194","25,313,449","0","0","Condition","SNOMED","1"
"","40174023","901636","Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,836,041","0","0","Drug","RxNorm","1"
"","40174018","901631","Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,836,041","0","0","Drug","RxNorm","1"
"","40174004","901620","Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,836,041","0","0","Drug","RxNorm","1"
"","40174015","901628","Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,836,041","0","0","Drug","RxNorm","1"
"","40174011","901624","Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,836,041","0","0","Drug","RxNorm","1"
"","40174020","901633","Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine","Ingredient","Standard","38,440","24,521,567","0","0","Drug","RxNorm","1"
"","4239747","363870007","Mental state, behavior / psychosocial function observable","Observable Entity","Standard","0","24,342,230","0","0","Measurement","SNOMED","1"
"","40481043","443344007","Acute on chronic diastolic heart failure","Disorder","Standard","16,299,796","24,102,051","0","0","Condition","SNOMED","1"
"","44782690","129161000119100","Chronic kidney disease stage 5 due to hypertension","Disorder","Standard","20,062,505","23,601,993","0","0","Condition","SNOMED","1"
"","4124677","233795005","Infectious disorder of bronchus","Disorder","Standard","300","23,444,832","0","0","Condition","SNOMED","1"
"","4055259","243132000","Inhaled drug administration","Procedure","Standard","100","23,132,462","0","0","Procedure","SNOMED","1"
"","4233784","405944004","Asthmatic bronchitis","Disorder","Standard","1,281,920","22,531,780","0","0","Condition","SNOMED","2"
"","4146581","427679007","Mild intermittent asthma","Disorder","Standard","22,044,722","22,044,722","0","0","Condition","SNOMED","2"
"","44783617","697896007","Precapillary pulmonary hypertension","Disorder","Standard","0","21,847,314","0","0","Condition","SNOMED","3"
"","4013643","11399002","Pulmonary arterial hypertension","Disorder","Standard","4,450,380","21,736,112","0","0","Condition","SNOMED","3"
"","256448","195949008","Chronic asthmatic bronchitis","Disorder","Standard","16,026,889","21,249,860","0","0","Condition","SNOMED","1"
"","45887891","1014526","Physical Examination","CPT4 Hierarchy","Classification","0","21,141,974","0","0","Observation","CPT4","1"
"","4085789","185324002","Failed encounter","Clinical Finding","Standard","6,408,475","21,113,068","0","0","Observation","SNOMED","1"
"","2314318","97802","Medical nutrition therapy; initial assessment and intervention, individual, face-to-face with the patient, each 15 minutes","CPT4","Standard","19,610,650","19,610,650","0","0","Procedure","CPT4","1"
"","4121450","233785003","Infectious disorder of trachea","Disorder","Standard","548","19,280,735","0","0","Condition","SNOMED","1"
"","260134","71186008","Croup","Disorder","Standard","19,277,913","19,277,913","0","0","Condition","SNOMED","1"
"","4116786","301256004","Pleura finding","Clinical Finding","Standard","1,386","18,928,414","0","0","Condition","SNOMED","1"
"","4219847","41769001","Disease suspected","Context-dependent","Standard","1,607,011","18,849,758","0","0","Observation","SNOMED","1"
"","372892","50122000","Metabolic encephalopathy","Disorder","Standard","11,874,335","18,718,985","0","0","Condition","SNOMED","1"
"","434004","21639008","Hypervolemia","Clinical Finding","Standard","18,018,935","18,152,571","0","0","Condition","SNOMED","1"
"","4279525","367390009","Hypertension in the obstetric context","Disorder","Standard","1,777","17,837,380","0","0","Condition","SNOMED","2"
"","439696","194779001","Hypertensive heart and renal disease with (congestive) heart failure","Disorder","Standard","15,454,772","17,820,021","0","0","Condition","SNOMED","1"
"","4051104","160266009","No family history of","Context-dependent","Standard","4,460,570","16,981,251","0","0","Observation","SNOMED","1"
"","4270024","401314000","Acute non-ST segment elevation myocardial infarction","Disorder","Standard","16,396,973","16,396,973","0","0","Condition","SNOMED","1"
"","312935","234072000","Venous hypertension","Disorder","Standard","5,489","16,019,714","0","0","Condition","SNOMED","1"
"","40480054","441677009","Imaging of lung","Procedure","Standard","10,163,920","15,988,089","0","0","Procedure","SNOMED","1"
"","4193397","391281002","Mental health assessment","Procedure","Standard","105,710","15,884,755","0","0","Procedure","SNOMED","1"
"","4158346","271825005","Respiratory distress","Clinical Finding","Standard","25,329","15,727,946","0","0","Condition","SNOMED","2"
"","253797","266368002","Post-inflammatory pulmonary fibrosis","Disorder","Standard","15,221,595","15,221,595","0","0","Condition","SNOMED","2"
"","4118910","288250001","Maternal hypertension","Disorder","Standard","1,455,099","14,528,017","0","0","Condition","SNOMED","3"
"","4207187","312134000","Viral lower respiratory infection","Disorder","Standard","500","13,791,490","0","0","Condition","SNOMED","1"
"","258780","185086009","Emphysematous bronchitis","Disorder","Standard","13,658,041","13,710,857","0","0","Condition","SNOMED","1"
"","4034097","237284001","Symptomatic disorders in pregnancy","Disorder","Standard","12,975","13,159,477","0","0","Condition","SNOMED","1"
"","4167493","48194001","Pregnancy-induced hypertension","Disorder","Standard","3,232,875","13,072,918","0","0","Condition","SNOMED","2"
"","4138659","306228005","Referral for diagnostic investigation","Procedure","Standard","58,359","12,744,378","0","0","Observation","SNOMED","1"
"","256449","12295008","Bronchiectasis","Disorder","Standard","10,443,734","12,741,881","0","0","Condition","SNOMED","1"
"","4042346","118796004","Procedure on pleural cavity","Procedure","Standard","0","12,248,337","0","0","Procedure","SNOMED","1"
"","4078925","19242006","Pulmonary edema","Disorder","Standard","102,538","12,237,307","0","0","Condition","SNOMED","1"
"","258866","46775006","Respiratory distress syndrome in the newborn","Disorder","Standard","12,076,684","12,076,684","0","0","Condition","SNOMED","1"
"","4155469","370219009","Moderate asthma","Disorder","Standard","28,249","12,074,950","0","0","Condition","SNOMED","2"
"","4142738","427295004","Moderate persistent asthma","Disorder","Standard","458,227","12,046,701","0","0","Condition","SNOMED","2"
"","381290","4210003","Ocular hypertension","Disorder","Standard","11,773,030","11,773,030","0","0","Condition","SNOMED","2"
"","4143828","426979002","Mild persistent asthma","Disorder","Standard","509,503","11,401,597","0","0","Condition","SNOMED","2"
"","45768964","707512002","Uncomplicated moderate persistent asthma","Disorder","Standard","11,255,597","11,255,597","0","0","Condition","SNOMED","2"
"","43531662","591000119102","Vaccine declined by patient","Context-dependent","Standard","8,558,112","11,192,231","0","0","Observation","SNOMED","1"
"","2314319","97803","Medical nutrition therapy; re-assessment and intervention, individual, face-to-face with the patient, each 15 minutes","CPT4","Standard","11,136,868","11,136,868","0","0","Procedure","CPT4","1"
"","261687","66857006","Hemoptysis","Clinical Finding","Standard","11,127,921","11,128,221","0","0","Condition","SNOMED","1"
"","444044","35455006","Acute tubular necrosis","Disorder","Standard","11,105,462","11,105,762","0","0","Condition","SNOMED","1"
"","4201409","302199004","Examination - action","Qualifier Value","Standard","5,470","11,097,130","0","0","Observation","SNOMED","1"
"","42742404","1031F","Smoking status and exposure to second hand smoke in the home assessed (Asthma)","CPT4","Standard","10,730,184","10,730,184","0","0","Observation","CPT4","1"
"","45768963","707511009","Uncomplicated mild persistent asthma","Disorder","Standard","10,717,411","10,717,411","0","0","Condition","SNOMED","2"
"","45769438","708090002","Acute severe exacerbation of asthma","Disorder","Standard","6,512,356","10,596,839","0","0","Condition","SNOMED","2"
"","4339214","88223008","Secondary pulmonary hypertension","Disorder","Standard","10,474,732","10,538,893","0","0","Condition","SNOMED","4"
"","46271074","709109004","Hypercapnic respiratory failure","Disorder","Standard","573,827","10,367,014","0","0","Condition","SNOMED","2"
"","44808949","851371000000105","Has self management plan","Clinical Finding","Standard","10,109,579","10,109,579","0","0","Observation","SNOMED","1"
"","40767204","64496-3","Do you have high blood pressure [PhenX]","Clinical Observation","Standard","10,056,202","10,056,202","0","0","Observation","LOINC","1"
"","4121656","304768008","Satisfaction with life scale","Staging / Scales","Standard","10,052,424","10,052,424","0","0","Measurement","SNOMED","1"
"","4313767","423674003","Chronic peripheral venous hypertension","Disorder","Standard","4,528,641","10,047,903","0","0","Condition","SNOMED","2"
"","4142612","306180006","Referral to surgical service","Procedure","Standard","279,574","9,824,317","0","0","Observation","SNOMED","1"
"","319826","31992008","Secondary hypertension","Disorder","Standard","6,017,444","9,321,445","0","0","Condition","SNOMED","3"
"","4052544","233602006","Acute viral bronchiolitis","Disorder","Standard","14,082","8,931,438","0","0","Condition","SNOMED","1"
"","4148754","270426007","Did not attend - no reason","Clinical Finding","Standard","8,691,779","8,691,779","0","0","Observation","SNOMED","1"
"","4077802","275908000","Asthma monitoring","Procedure","Standard","1,761,767","8,632,663","0","0","Observation","SNOMED","2"
"","4027549","128258000","Ventilation finding","Clinical Finding","Standard","0","8,590,271","0","0","Condition","SNOMED","1"
"","46273719","709110009","Acute hypercapnic respiratory failure","Disorder","Standard","4,458,974","8,134,021","0","0","Condition","SNOMED","2"
"","134735","40970001","Chronic osteomyelitis","Disorder","Standard","1,915,531","8,033,597","0","0","Condition","SNOMED","1"
"","37116366","733051000","Pneumonia caused by Gram positive bacteria","Disorder","Standard","100","7,897,129","0","0","Condition","SNOMED","3"
"","4021319","225386006","Pre-discharge assessment","Procedure","Standard","9,041","7,848,593","0","0","Procedure","SNOMED","1"
"","2101934","1111F","Discharge medications reconciled with the current medication list in outpatient medical record (COA) (GER)","CPT4","Standard","7,839,552","7,839,552","0","0","Observation","CPT4","1"
"","44782733","153951000119103","Acute on chronic combined systolic and diastolic heart failure","Disorder","Standard","7,802,255","7,802,255","0","0","Condition","SNOMED","1"
"","4042672","118795000","Procedure on pleura","Procedure","Standard","0","7,524,643","0","0","Procedure","SNOMED","1"
"","4308356","390798007","Asthma finding","Clinical Finding","Standard","17,068","7,468,761","0","0","Condition","SNOMED","2"
"","4031369","129843006","Health management finding","Clinical Finding","Standard","300","7,395,007","0","0","Observation","SNOMED","1"
"","77987","301257008","Respiratory finding of chest","Clinical Finding","Standard","6,434,661","7,101,857","0","0","Condition","SNOMED","1"
"","4145497","266361008","Intrinsic asthma","Disorder","Standard","601,814","7,093,307","0","0","Condition","SNOMED","3"
"","4273378","64667001","Interstitial pneumonia","Disorder","Standard","17,618","6,948,981","0","0","Condition","SNOMED","2"
"","45769441","708093000","Acute exacerbation of allergic asthma","Disorder","Standard","5,228,380","6,882,588","0","0","Condition","SNOMED","2"
"","4199701","302183005","Postprocedural finding of respiratory tract","Clinical Finding","Standard","200","6,708,316","0","0","Condition","SNOMED","1"
"","4078057","19086005","Radioisotope study of respiratory system","Procedure","Standard","100","6,618,372","0","0","Procedure","SNOMED","1"
"","44783618","697897003","Heritable pulmonary arterial hypertension","Disorder","Standard","6,557,648","6,558,148","0","0","Condition","SNOMED","1"
"","4202168","308397003","Patient call procedure","Procedure","Standard","156,696","6,190,759","0","0","Observation","SNOMED","1"
"","317376","271823003","Tachypnea","Clinical Finding","Standard","2,774,117","6,173,795","0","0","Condition","SNOMED","1"
"","192680","34742003","Portal hypertension","Disorder","Standard","5,962,376","5,962,976","0","0","Condition","SNOMED","2"
"","4023020","225385005","Behavioral assessment","Procedure","Standard","14,012","5,958,320","0","0","Procedure","SNOMED","1"
"","4084213","183444007","Referral for further care","Procedure","Standard","5,940,054","5,940,314","0","0","Observation","SNOMED","1"
"","439393","398254007","Pre-eclampsia","Disorder","Standard","4,147,554","5,905,521","0","0","Condition","SNOMED","1"
